City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
jamestown,42.097,-79.2353,21.0,73,90,6.91,US,1612075009
bambous virieux,-20.3428,57.7575,86.0,66,40,10.36,MU,1612075244
vaini,-21.2,-175.2,78.8,94,75,5.75,TO,1612075244
grindavik,63.8424,-22.4338,21.2,93,90,5.75,IS,1612075244
cherskiy,68.75,161.3,-35.3,83,0,0.54,RU,1612075020
hobart,-42.8794,147.3294,70.0,48,75,11.5,AU,1612074988
pokhara,28.2333,83.9833,66.67,26,0,6.91,NP,1612075244
laguna,38.421,-121.4238,50.0,81,75,4.79,US,1612075245
saint george,37.1041,-113.5841,37.99,75,1,2.21,US,1612075245
bose,45.4612,8.0137,39.99,97,96,2.33,IT,1612075246
cap malheureux,-19.9842,57.6142,84.99,68,4,10.0,MU,1612075246
bamnet narong,15.4992,101.6897,87.94,32,8,8.84,TH,1612075246
rikitea,-23.1203,-134.9692,78.93,77,9,10.16,PF,1612075246
cape town,-33.9258,18.4232,69.01,88,90,12.66,ZA,1612075206
ahipara,-35.1667,173.1667,66.31,66,11,3.51,NZ,1612075032
punta arenas,-53.15,-70.9167,48.2,71,0,19.57,CL,1612075224
ames,42.0347,-93.6199,30.2,86,90,16.11,US,1612075247
sangmelima,2.9333,11.9833,72.14,82,69,2.95,CM,1612075248
ushuaia,-54.8,-68.3,46.4,71,0,6.91,AR,1612074973
ilebo,-4.3167,20.5833,72.16,94,100,1.61,CD,1612075248
lavrentiya,65.5833,-171.0,-11.56,85,100,9.78,RU,1612075248
sur,22.5667,59.5289,76.46,40,0,6.78,OM,1612075052
hermanus,-34.4187,19.2345,75.99,70,2,1.01,ZA,1612075248
krapina,46.1608,15.8789,34.0,93,90,12.66,HR,1612075249
mataura,-46.1927,168.8643,62.46,66,100,3.31,NZ,1612075249
makakilo city,21.3469,-158.0858,73.4,68,1,4.61,US,1612075250
matay,28.419,30.7792,60.66,31,0,7.65,EG,1612075250
ishigaki,24.3448,124.1572,71.6,49,20,12.66,JP,1612075250
bredasdorp,-34.5322,20.0403,75.99,70,0,1.01,ZA,1612075250
chokurdakh,70.6333,147.9167,-31.49,85,46,9.08,RU,1612075250
georgetown,5.4112,100.3354,89.6,55,20,9.22,MY,1612075241
coihaique,-45.5752,-72.0662,48.07,84,44,0.31,CL,1612075251
padang,-0.9492,100.3543,81.73,71,100,4.09,ID,1612075252
saint-philippe,-21.3585,55.7679,88.0,62,0,24.16,RE,1612075252
yellowknife,62.456,-114.3525,-13.0,76,20,3.44,CA,1612075042
kenai,60.5544,-151.2583,10.0,85,1,8.52,US,1612075252
qaanaaq,77.484,-69.3632,-3.46,87,100,0.76,GL,1612075253
tuktoyaktuk,69.4541,-133.0374,-32.8,68,40,3.44,CA,1612075254
bethel,41.3712,-73.414,14.0,72,1,4.9,US,1612075254
bereznik,62.8551,42.7072,17.37,97,100,8.46,RU,1612075254
pangnirtung,66.1451,-65.7125,-4.65,80,87,3.0,CA,1612075254
sabla,12.7525,4.7077,64.8,25,1,10.13,NG,1612075254
bathsheba,13.2167,-59.5167,78.8,73,40,21.85,BB,1612075256
mumford,5.2618,-0.759,79.41,88,93,7.87,GH,1612075256
gwadar,25.1216,62.3254,73.08,58,0,9.28,PK,1612075256
marawi,7.9986,124.2928,82.99,78,85,13.0,PH,1612075256
marzuq,14.4,46.4667,72.77,31,0,6.06,YE,1612075257
khasan,42.4308,130.6434,18.72,95,100,8.55,RU,1612075257
puerto ayora,-0.7393,-90.3518,78.01,92,20,7.0,EC,1612075257
taltal,-25.4,-70.4833,64.44,78,27,3.31,CL,1612075258
kapaa,22.0752,-159.319,71.6,83,75,18.41,US,1612075258
nemuro,43.3236,145.575,24.8,50,20,10.36,JP,1612075023
kommunisticheskiy,61.6789,64.4819,3.11,93,100,1.21,RU,1612075258
sorong,-0.8833,131.25,83.08,72,100,10.07,ID,1612075259
sarany,58.5,58.8833,19.11,98,100,6.82,RU,1612075259
upernavik,72.7868,-56.1549,-9.6,86,43,4.03,GL,1612075259
chernyshevskiy,63.0128,112.4714,-25.96,85,100,5.88,RU,1612075259
nyagan,62.1406,65.3936,1.92,93,100,1.36,RU,1612075260
castro,-24.7911,-50.0119,64.36,95,100,4.41,BR,1612075260
victoria,22.2855,114.1577,75.2,38,0,11.5,HK,1612075260
iskateley,67.6803,53.1512,3.27,93,100,11.41,RU,1612075261
busselton,-33.65,115.3333,93.99,28,0,4.0,AU,1612075261
pangody,65.85,74.4859,-14.53,89,100,19.3,RU,1612075261
albany,42.6001,-73.9662,9.0,59,25,3.6,US,1612075261
